tsn;genus;species;en_com_name;fr_com_name;qc_code;on_tree_code;on_alpha_code;us_code;nb_code
19487;Betula;lenta;"Cherry birch;sweet birch ;sweet birch";NA;NA;112;Bc;372;
19488;Betula;occidentalis;water birch;NA;NA;NA;NA;374;
19489;Betula;papyrifera;"White birch;paper birch ;paper birch";Bouleau blanc (à papier);BOP;38;Bw;375;19
19495;Betula;pendula;"European white birch (weeping);silver birch";NA;NA;120;Bp;NA;
19497;Betula;populifolia;"Grey birch;wire birch ;gray birch";Bouleau gris (à feuilles de peuplier);BOG;168;Br;379;131
19502;Betula;uber;Virginia roundleaf birch;NA;NA;NA;NA;377;
19504;Carpinus;caroliniana;"Blue beech ;American hornbeam, musclewood";Charme de Caroline;CAR;111;Bu;391;
19507;Corylus;cornuta;NA;Noisetier à long bec;COC;NA;NA;NA;35
19511;Ostrya;virginiana;"Ironwood ;eastern hophornbeam";Ostryer de Virginie;OSV;56;Id;701;16
19514;Casuarina;;sheoak ;NA;NA;NA;NA;855;
19516;Casuarina;equisetifolia;beach sheoak;NA;NA;NA;NA;6434;
19517;Casuarina;glauca;gray sheoak;NA;NA;NA;NA;856;
19595;Guapira;discolor;beeftree, longleaf blolly;NA;NA;NA;NA;882;
19599;Guapira;fragrans;black mampoo;NA;NA;NA;NA;7285;
19600;Guapira;obtusata;corcho prieto;NA;NA;NA;NA;7286;
19606;Pisonia;;catchbirdtree;NA;NA;NA;NA;8215;
19609;Pisonia;albida;corcho bobo;NA;NA;NA;NA;8211;
19611;Pisonia;subcordata;water mampoo;NA;NA;NA;NA;8216;
19666;Neea;buxifolia;saltwood;NA;NA;NA;NA;7940;
19686;Opuntia;;pricklypear;NA;NA;NA;NA;8018;
19706;Opuntia;ficus-indica;tuna cactus;NA;NA;NA;NA;8014;
19861;Hylocereus;;nightblooming cactus;NA;NA;NA;NA;7440;
20589;Chenopodium;;goosefoot;NA;NA;NA;NA;6518;
20640;Chenopodium;oahuense;alaweo;NA;NA;NA;NA;6517;
20787;Charpentiera;;papala;NA;NA;NA;NA;6503;
20788;Charpentiera;densiflora;Napali coast papala;NA;NA;NA;NA;6497;
20789;Charpentiera;elliptica;ellipticleaf papala;NA;NA;NA;NA;6498;
20790;Charpentiera;obovata;broadleaf papala;NA;NA;NA;NA;6499;
20791;Charpentiera;ovata;Koolau Range papala;NA;NA;NA;NA;6500;
20792;Charpentiera;tomentosa;Waianae Range papala;NA;NA;NA;NA;6504;
20827;Nototrichium;humile;kaala rockwort;NA;NA;NA;NA;7971;
20828;Nototrichium;sandwicense;Hawaii rockwort;NA;NA;NA;NA;7972;
21038;Coccoloba;diversifolia;tietongue, pigeon-plum;NA;NA;NA;NA;863;
21039;Coccoloba;uvifera;seagrape;NA;NA;NA;NA;6670;
